[+] Introspecting http://localhost:8000/graphql/

[>] Testing warehouse (string args: ['externalReference'])

[>] Testing warehouses (string args: ['before', 'after'])

	Payload:  '
	Query: query { warehouses(before: " '", after: " '") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_PRODUCTS, MANAGE_ORDERS, MANAGE_SHIPPING", "locations": [{"line": 1, "column": 9}], "path": ["warehouses"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_PRODUCTS, MANAGE_ORDERS, MANAGE_SHIPPING"]}}}], "data": {"warehouses": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR '1'='1
	Query: query { warehouses(before: "' OR '1'='1", after: "' OR '1'='1") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_PRODUCTS, MANAGE_ORDERS, MANAGE_SHIPPING", "locations": [{"line": 1, "column": 9}], "path": ["warehouses"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_PRODUCTS, MANAGE_ORDERS, MANAGE_SHIPPING"]}}}], "data": {"warehouses": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}

	Payload: ' OR 1=1--
	Query: query { warehouses(before: "' OR 1=1--", after: "' OR 1=1--") { totalCount } }
	Response: {"errors": [{"message": "To access this path, you need one of the following permissions: MANAGE_PRODUCTS, MANAGE_ORDERS, MANAGE_SHIPPING", "locations": [{"line": 1, "column": 9}], "path": ["warehouses"], "extensions": {"exception": {"code": "PermissionDenied", "stacktrace": ["Traceback (most recent call last):", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executor.py\", line 452, in resolve_or_error", "    return executor.execute(resolve_fn, source, info, **args)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/usr/local/lib/python3.12/site-packages/graphql/execution/executors/sync.py\", line 16, in execute", "    return fn(*args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/core/fields.py\", line 155, in new_resolver", "    return wrapped_resolver(obj, info, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 30, in wrapper", "    return func(info.context, *args, **kwargs)", "           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^", "  File \"/app/saleor/graphql/decorators.py\", line 44, in wrapper", "    test_func(context)", "  File \"/app/saleor/graphql/decorators.py\", line 85, in check_perms", "    raise PermissionDenied(permissions=perms)", "saleor.core.exceptions.PermissionDenied: To access this path, you need one of the following permissions: MANAGE_PRODUCTS, MANAGE_ORDERS, MANAGE_SHIPPING"]}}}], "data": {"warehouses": null}, "extensions": {"cost": {"requestedQueryCost": 1, "maximumAvailable": 50000}}}
